DATEPRD   ,X7405f ,X7078  ,X5599  ,X5351 ,X7289
2014-07-31,375.93 ,1255.25,181.66 ,355.48,196.37
2014-08-01,378.38 ,1268.08,183.95 ,357.69,195.54
2014-08-02,379.41 ,1267.54,184.75 ,359.24,195.23
2014-08-03,377.42 ,1261.33,183.88 ,357.55,194.31
2014-08-04,417.98 ,1280.23,186.96 ,363.53,197.66
2014-08-05,507.75 ,1236.61,180.42 ,350.83,190.7
2014-08-06,469.73 ,1242.96,180.22 ,350.44,198.4
2014-08-07,521.26 ,1182.78,174.56 ,334.33,187.32
2014-08-08,518.32 ,1179.46,173.47 ,332.25,186.52
2014-08-09,493.37 ,1175.77,170.15 ,330.84,187.39
2014-08-10,509.21 ,1163.78,170.25 ,326.08,184.07
2014-08-11,351.8  ,1205.65,175.91 ,336.92,191.07
2014-08-12,287.03 ,1214.29,175.23 ,340.72,194.74
2014-08-13,278.58 ,1222.62,174.51 ,339.33,194.89
2014-08-14,297.19 ,1229.06,175.42 ,341.09,192.77
2014-08-15,297.33 ,1235.28,175.96 ,342.15,191.43
2014-08-16,296.2  ,1229.35,175.16 ,340.59,190.63
2014-08-17,296.12 ,1231.86,175.23 ,340.72,190.59
2014-08-18,293.35 ,1227.95,174.03 ,338.4 ,189.16
2014-08-19,0      ,79.31  ,10.2   ,4.3   ,22.97
2014-08-20,0      ,0      ,0      ,0     ,0
2014-08-21,0      ,0      ,0      ,0     ,0
2014-08-22,0      ,0      ,0      ,0     ,0
2014-08-23,0      ,0      ,0      ,0     ,0
2014-08-24,0      ,0      ,0      ,0     ,0
2014-08-25,0      ,740.85 ,108.65 ,155.58,0
2014-08-26,0      ,583.1  ,187.4  ,332.73,0
2014-08-27,0      ,521.8  ,184.6  ,358.23,0
2014-08-28,0      ,589.54 ,190.17 ,290.24,0
2014-08-29,0      ,516.94 ,193.79 ,374.02,0
2014-08-30,0      ,481.7  ,189.57 ,368.61,0
2014-08-31,0      ,469.7  ,194.05 ,377.32,0
2014-09-01,0      ,488.42 ,190.07 ,369.58,0
2014-09-02,0      ,610.72 ,210.77 ,419.29,29.63
2014-09-03,103.77 ,1123.32,188.01 ,305.75,228.09
2014-09-04,290.3  ,1319.35,175.62 ,327.3 ,212.27
2014-09-05,427.63 ,1258.26,172.51 ,335.43,211.34
2014-09-06,422.69 ,1245.86,174.27 ,333.78,204.1
2014-09-07,412.14 ,1240.68,171.51 ,333.5 ,204.01
